codigo;nombre;cantidad;coste_total;coste_unitario;revisar
25-770M500PRO;Blum Perfil LEGRABOX PURE Alt.M Gris LN.500 Derecha;;;4.59;
25-780C5002FO;Blum Perfiles LEGRABOX FREE Alt.C Gris LN.500 Izq y Der;;;19.1;
25-X5765001B1J;Blum Juego Guias TANDEMBOX 65Kg Blumotion LN=500;;;14.09;
25-Z30B00S4LG;Blum Adaptador L=Izqu.Trasera Mader.Gaveta Antaro B Gris;;;0.5;
25-Z30B00S4RG;Blum Adaptador R=Der.Trasera Mader.Gaveta Antaro B Gris;;;0.5;
25-Z30C000SLO;Blum Adaptador L=Izqu.Trasera Mader.Gaveta Antaro C Gris Orion;;;0.79;
25-Z30C000SRO;Blum Adaptador R=Der.Trasera Mader.Gaveta Antaro C Gris Orion;;;0.79;
25-Z30M00S4LO;Blum Adaptador L=Izqu.Trasera Mader.Cajon Antaro M Gris Orion;;;0.41;
25-Z30M00S4RO;Blum Adaptador R=Der.Trasera Mader.Cajon Antaro M Gris Orion;;;0.41;
25-Z962011UND;Blum Conector fondos de cajon para anchos <750mm;;;0.74;
25-ZB7C000SLO;Blum Adaptador Trasera LEGRABOX Gris Alt.C L-Izquierda;;;0.43;
25-ZB7C000SRO;Blum Adaptador Trasera LEGRABOX Gris Alt.C R-Derecha;;;0.43;
25-ZE7S388GCT;Blum elementos Insercion Lat.LEGRABOX 138x338x10mm Cristal Transp;;;17.04;
25-ZIF80M71GR;Blum Tirador Arrastrador Cajon Interior ANTARO Gris;;;4.01;
25-ZRG387RSLO;Blum Guardacuerpo L=Izqu.ANTARO Gris LN=450;;;1.97;
25-ZRG387RSRO;Blum Guardacuerpo R=Der.ANTARO Gris LN=450;;;1.97;
36-20K1501B1U;Blum Mecanismo HK-XS-15-(F.R.800-1800);;;5.53;
36-20K2C0102U;Blum Mecanismo HK-S-(C)-(F.R.400-1000);;;5.75;
36-20K2C01T1U;Blum Mecanismo HK-S-(C)-TIP-ON-(F.R.400-1000);;;5.87;
36-20K2E01T1U;Blum Mecanismo HK-S-(E)-TIP-ON-(F.R.960-2215);;;5.87;
36-20S4201ATR;Blum Fijacion Frontal (HK-HS-HL) Atornillable;;;0.72;
36-20S42E1EXP;Blum Fijacion Frontal (HK-HS-HL) Taco Expando;;;0.96;
36-22F2501PLT;Blum Mecanismo HF-TOP25 Con Plantilla FR(2700-13500);;;14.26;
36-22K2501BPU;Blum Mecanismo HK TOP-25-C/Plantilla.(F.R.930-2800);;;12.85;
36-22K2701BPU;Blum Mecanismo HK TOP-27-C/Plantilla.(F.R.1730-5200);;;12.91;
36-22K2701TPU;Blum Mecanismo HK TOP 27 TIP-ON-C/Plnt.(F.R.1730-5200);;;14.8;
36-22K2901BPU;Blum Mecanismo HK TOP-29-C/Plantilla (F.R.3200-9000);;;15.27;
36-22K2901TPU;Blum Mecanismo HK TOP 29 TIP-ON-C/Plnt.(F.R.3200-9000);;;17.15;
36-22K8001LGO;Blum Tapa Gris Orion AVENTOS-HK TOP L/Izquierda;;;1.1;
36-22K8001RGO;Blum Tapa Gris Orion AVENTOS-HK TOP R/Derecha;;;1.1;
36-22L2500JGO;Blum Juego Mecanismos HL TOP 25 Alt.300-389;;;35.16;
36-22L3800JGO;Blum Juego Brazos ST HL TOP 38 Alt.390-540;;;24.24;
36-22S2500JGO;Blum Juego Mecanismos HS TOP 25;;;34.68;
36-22S3500JGO;Blum Juego Brazos AVENTOS HS TOP 35;;;21.84;
36-ABD1000BLO;Blum Tapa PEQUEÑA Decorativa Gris Orion;;;0.07;
